Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.3353236667 , -72.681177 , 86 , 25.30 , 1000.54 , 563 , Tue Jun 20 2017 16:00:04 GMT-0400 (EDT) , 300234064222900
42.3353278333 , -72.681183 , 85 , 25.10 , 1000.60 , 543 , Tue Jun 20 2017 16:02:32 GMT-0400 (EDT) , 300234064222900
42.3353293333 , -72.6811598333 , 89 , 26.00 , 1000.77 , 565 , Tue Jun 20 2017 16:03:55 GMT-0400 (EDT) , 300234064222900
42.3353391667 , -72.6811751667 , 85 , 26.10 , 1000.81 , 566 , Tue Jun 20 2017 16:06:18 GMT-0400 (EDT) , 300234064222900
42.3354036667 , -72.6811693333 , 103 , 26.20 , 1001.01 , 571 , Tue Jun 20 2017 16:07:35 GMT-0400 (EDT) , 300234064222900
42.3353693333 , -72.6811711667 , 91 , 26.20 , 1001.03 , 573 , Tue Jun 20 2017 16:09:01 GMT-0400 (EDT) , 300234064222900
42.335371 , -72.6811813333 , 86 , 25.90 , 1001.07 , 575 , Tue Jun 20 2017 16:10:27 GMT-0400 (EDT) , 300234064222900
42.3353725 , -72.6811861667 , 85 , 25.70 , 1001.17 , 578 , Tue Jun 20 2017 16:11:53 GMT-0400 (EDT) , 300234064222900
42.335403 , -72.6811403333 , 96 , 25.70 , 1001.07 , 579 , Tue Jun 20 2017 16:13:35 GMT-0400 (EDT) , 300234064222900
42.335354 , -72.6812146667 , 79 , 24.60 , 1000.94 , 576 , Tue Jun 20 2017 16:15:01 GMT-0400 (EDT) , 300234064222900
42.33534 , -72.6726615 , 488 , 19.20 , 954.62 , 588 , Tue Jun 20 2017 16:16:23 GMT-0400 (EDT) , 300234064222900
42.3384918333 , -72.6628175 , 952 , 16.00 , 905.90 , 599 , Tue Jun 20 2017 16:17:47 GMT-0400 (EDT) , 300234064222900
42.3431025 , -72.652202 , 1389 , 13.00 , 858.99 , 610 , Tue Jun 20 2017 16:19:14 GMT-0400 (EDT) , 300234064222900
42.34887 , -72.6431976667 , 1826 , 9.70 , 814.43 , 629 , Tue Jun 20 2017 16:20:41 GMT-0400 (EDT) , 300234064222900
42.3524955 , -72.6322375 , 2323 , 6.40 , 767.12 , 694 , Tue Jun 20 2017 16:22:05 GMT-0400 (EDT) , 300234064222900
42.3540155 , -72.6203143333 , 2762 , 3.80 , 728.11 , 803 , Tue Jun 20 2017 16:23:29 GMT-0400 (EDT) , 300234064222900
42.3544993333 , -72.6028563333 , 3260 , 0.40 , 683.81 , 1023 , Tue Jun 20 2017 16:24:57 GMT-0400 (EDT) , 300234064222900
42.3541378333 , -72.590978 , 3754 , -0.60 , 642.10 , 1023 , Tue Jun 20 2017 16:26:22 GMT-0400 (EDT) , 300234064222900
42.3540375 , -72.5816045 , 4222 , -2.10 , 604.83 , 1023 , Tue Jun 20 2017 16:28:12 GMT-0400 (EDT) , 300234064222900
42.3552451667 , -72.5606956667 , 4792 , -6.10 , 540.85 , 1023 , Tue Jun 20 2017 16:29:45 GMT-0400 (EDT) , 300234064222900
42.3604693333 , -72.5295936667 , 5220 , -9.60 , 532.62 , 1023 , Tue Jun 20 2017 16:31:16 GMT-0400 (EDT) , 300234064222900
