Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.3347261667 , -72.6811795 , 85 , 32.80 , 1004.18 , 14 , Wed Jul 19 2017 12:33:35 GMT-0400 (EDT) , 300234065639530
42.334678 , -72.6811926667 , 82 , 35.50 , 1002.37 , 43 , Wed Jul 19 2017 12:35:15 GMT-0400 (EDT) , 300234065639530
42.3347155 , -72.6811565 , 75 , 35.80 , 1005.38 , 65535 , Wed Jul 19 2017 12:40:38 GMT-0400 (EDT) , 300234065639530
42.3347303333 , -72.6811698333 , 76 , 33.10 , 1005.67 , 65535 , Wed Jul 19 2017 12:44:19 GMT-0400 (EDT) , 300234065639530
42.3347185 , -72.6811535 , 89 , 32.00 , 1000.58 , 84 , Wed Jul 19 2017 12:45:51 GMT-0400 (EDT) , 300234065639530
42.3371023333 , -72.6783193333 , 856 , 25.40 , 918.20 , 65535 , Wed Jul 19 2017 12:50:53 GMT-0400 (EDT) , 300234065639530
42.3378346667 , -72.6712115 , 1537 , 19.90 , 848.40 , 97 , Wed Jul 19 2017 12:52:25 GMT-0400 (EDT) , 300234065639530
42.3386176667 , -72.6630881667 , 2083 , 18.10 , 794.16 , 98 , Wed Jul 19 2017 12:53:52 GMT-0400 (EDT) , 300234065639530
42.331146 , -72.617702 , 4792 , 4.50 , 569.44 , 65535 , Wed Jul 19 2017 13:02:37 GMT-0400 (EDT) , 300234065639530
42.333264 , -72.6009648333 , 5944 , -2.40 , 490.47 , 828 , Wed Jul 19 2017 13:04:01 GMT-0400 (EDT) , 300234065639530
42.336818 , -72.5935843333 , 6446 , -4.20 , 462.38 , 104 , Wed Jul 19 2017 13:05:35 GMT-0400 (EDT) , 300234065639530
42.3399001667 , -72.5845025 , 7028 , -7.80 , 425.91 , 105 , Wed Jul 19 2017 13:07:03 GMT-0400 (EDT) , 300234065639530
42.3451501667 , -72.5769181667 , 7542 , -13.50 , 396.59 , 65535 , Wed Jul 19 2017 13:08:52 GMT-0400 (EDT) , 300234065639530
42.3500403333 , -72.5669873333 , 8217 , -16.70 , 362.31 , 821 , Wed Jul 19 2017 13:10:37 GMT-0400 (EDT) , 300234065639530
42.3552523333 , -72.5565503333 , 8884 , -19.70 , 329.93 , 65535 , Wed Jul 19 2017 13:12:07 GMT-0400 (EDT) , 300234065639530
42.3590151667 , -72.5474465 , 9422 , -25.30 , 306.87 , 107 , Wed Jul 19 2017 13:13:37 GMT-0400 (EDT) , 300234065639530
42.3607476667 , -72.538926 , 9994 , -26.60 , 284.10 , 65535 , Wed Jul 19 2017 13:15:08 GMT-0400 (EDT) , 300234065639530
42.359552 , -72.5321968333 , 10549 , -30.60 , 265.32 , 65535 , Wed Jul 19 2017 13:16:33 GMT-0400 (EDT) , 300234065639530
42.359289 , -72.5247295 , 11066 , -31.00 , 244.01 , 65535 , Wed Jul 19 2017 13:18:02 GMT-0400 (EDT) , 300234065639530
42.3584941667 , -72.5163913333 , 11653 , -35.50 , 223.70 , 65535 , Wed Jul 19 2017 13:19:57 GMT-0400 (EDT) , 300234065639530
42.358821 , -72.5086526667 , 12351 , -37.80 , 204.13 , 113 , Wed Jul 19 2017 13:21:23 GMT-0400 (EDT) , 300234065639530
42.3622558333 , -72.4912241667 , 13380 , -38.80 , 179.21 , 65535 , Wed Jul 19 2017 13:24:05 GMT-0400 (EDT) , 300234065639530
42.3635786667 , -72.4801745 , 13906 , -39.70 , 168.08 , 65535 , Wed Jul 19 2017 13:25:29 GMT-0400 (EDT) , 300234065639530
42.3667961667 , -72.4676411667 , 14431 , -42.90 , 156.28 , 65535 , Wed Jul 19 2017 13:27:21 GMT-0400 (EDT) , 300234065639530
42.3628471667 , -72.449096 , 15218 , -42.00 , 138.35 , 110 , Wed Jul 19 2017 13:29:47 GMT-0400 (EDT) , 300234065639530
42.3616168333 , -72.4364823333 , 16195 , -41.50 , 121.31 , 65535 , Wed Jul 19 2017 13:31:18 GMT-0400 (EDT) , 300234065639530
42.3631835 , -72.4330806667 , 16787 , -44.80 , 107.60 , 65535 , Wed Jul 19 2017 13:32:49 GMT-0400 (EDT) , 300234065639530
42.3647691667 , -72.4283015 , 17313 , -41.90 , 98.84 , 65535 , Wed Jul 19 2017 13:34:15 GMT-0400 (EDT) , 300234065639530
42.3653171667 , -72.4240886667 , 17853 , -39.40 , 90.37 , 65535 , Wed Jul 19 2017 13:35:54 GMT-0400 (EDT) , 300234065639530
42.3655831667 , -72.4194516667 , 18492 , -41.80 , 82.38 , 117 , Wed Jul 19 2017 13:37:20 GMT-0400 (EDT) , 300234065639530
42.366247 , -72.418214 , 18968 , -41.50 , 69.11 , 65535 , Wed Jul 19 2017 13:39:05 GMT-0400 (EDT) , 300234065639530
42.368048 , -72.4181316667 , 19535 , -35.90 , 66.30 , 201 , Wed Jul 19 2017 13:40:32 GMT-0400 (EDT) , 300234065639530
42.3670521667 , -72.4192036667 , 19999 , -36.90 , 59.75 , 137 , Wed Jul 19 2017 13:42:20 GMT-0400 (EDT) , 300234065639530
